Time,accelX,accelY,accelZ,gyroX,gyroY,gyroZ
1962185,-1.22,8.14,0.71,-51.34,54.51,-1.82
1962192,-1.28,8.11,0.84,-52.53,56.12,-2.73
1962199,-1.17,8.13,0.87,-53.73,57.71,-2.16
1962206,-1.04,8.32,0.75,-54.95,59.15,-2.7
1962213,-0.78,8.24,0.31,-56.09,61.23,-1.83
1962220,-0.73,8.05,-0.41,-56.58,62.67,-2.26
1962227,-0.74,8.2,-0.79,-57.96,64.42,-3.03
1962234,-0.91,8.4,-1.3,-58.98,66.18,-3.35
1962241,-1.22,8.4,-1.74,-60.45,68,-5.23
1962248,-1.45,8.5,-1.84,-61.74,69.8,-6.15
1962255,-1.72,8.22,-1.71,-63.6,71.93,-6.95
1962262,-1.85,8.06,-1.45,-64.06,73.87,-7.23
1962269,-1.75,7.94,-1,-64.78,75.9,-7.99
1962276,-1.71,7.68,-0.48,-66.37,77.7,-9.73
1962283,-1.63,7.61,-0.04,-67.25,79.65,-10.84
1962290,-1.7,7.4,0.39,-68.79,81.63,-12.58
1962297,-1.99,7.14,0.55,-70.08,83.48,-14.82
1962304,-2.24,6.98,0.59,-71.62,85.37,-15.96
1962311,-2.76,6.87,0.66,-73.76,87.01,-17.39
1962318,-3.07,6.76,0.65,-75.39,89.01,-18.61
1962325,-3.27,6.73,0.74,-76.96,91.33,-17.95
1962332,-3.17,6.5,0.88,-78.02,93.48,-18.18
1962366,-3.18,6.04,0.32,-86.2,105.01,-22.91
1962373,-3.62,6.12,0.1,-87.83,107.28,-23.72
1962380,-3.86,6.11,-0.14,-91,109.76,-26.01
1962387,-4.08,6.04,-0.35,-92.99,112.29,-28.7
1962394,-3.93,5.99,-0.62,-95.78,114.93,-30.72
1962401,-3.82,5.93,-0.74,-97.26,117.44,-34.01
1962408,-3.64,5.91,-0.81,-99.22,119.74,-36
1962415,-3.57,5.79,-0.75,-100.43,122.28,-39
1962422,-3.77,5.71,-0.8,-102.36,124.56,-41.97
1962429,-4.11,5.52,-0.81,-105.05,126.91,-45.31
1962436,-4.47,5.25,-0.88,-108.34,129.64,-47.67
1962443,-4.84,5.08,-0.87,-110.82,132.08,-52.12
1962450,-5.06,4.85,-0.87,-112.79,134.61,-54.71
1962457,-5.04,4.68,-0.95,-115.01,137.24,-59.32
