Time,accelX,accelY,accelZ,gyroX,gyroY,gyroZ
1964779,3.92,-1.21,-6.61,9.93,-19.26,-12.05
1964786,3.35,0.82,1.74,11.25,-13.94,-12.63
1964793,0.64,-1.77,4.02,9.72,-5.55,-8.17
1964800,1.69,-4.06,-7.5,4.84,5.02,-3.64
1964807,3.67,-1.09,-12.07,3.32,11.84,-4.07
1964814,6.61,0.86,-12.15,2.86,17.41,-4.3
1964821,8.46,4.38,-9.43,2.56,19.76,-6.59
1964828,6.3,4.66,-5.28,2.11,21.6,-6.83
1964835,2.26,2.21,-2.76,1.54,23.27,1.89
1964842,-0.44,-0.44,-3.2,0.6,25.65,6.19
1964849,-0.01,-0.61,-5,-0.82,28.06,4.97
1964856,3.64,0.77,-7.15,-2.67,29.28,1.74
1964863,7.56,3.07,-8.66,-3.79,29.18,0.17
1964870,8.94,4.05,-9.5,-4.5,27.52,4.02
1964877,7.45,3.36,-9.84,-5.07,25.82,12.08
1964884,4.17,0.82,-9.23,-5.72,24.81,15.97
1964891,1.94,0.56,-7.7,-7.32,24.6,14.65
1964898,2.4,0.22,-5.34,-9.05,24.68,9.74
1964905,4.39,-0.09,-4.17,-11.3,24.13,1.49
1964912,6.09,0.05,-5.17,-12.76,22.93,2.03
1964919,7.17,-1.15,-6.84,-13.68,21.29,11.99
1964926,7.36,-1.94,-7.6,-15.4,19.34,21.2
1964933,6.18,-1.42,-7.42,-16.72,17.61,28.65
1964940,4.89,-1.31,-6.39,-18.26,16.28,30.12
1964947,4.25,-1.4,-5.55,-20.56,15.18,25.72
1964954,4.2,-0.85,-5.31,-22.15,14.39,24.92
1964961,4.76,0.15,-5.89,-23.54,13.26,24.06
1964968,5,1.2,-6.72,-24.7,12.01,27.68
1964975,5.06,1.88,-7.62,-25.59,10.75,32.4
1964982,4.6,2.17,-7.45,-26.53,9.3,33.66
1964989,4.57,5.41,-7.58,-24.63,7.73,29.88
1964996,3.93,2.4,-7.92,-18.97,5.94,24.12
1965003,4.02,3.64,-7.16,-14.93,3.79,16.71
1965010,3.77,1.95,-7.44,-10.37,1.36,12.81
1965017,4.49,1.91,-7.3,-8.26,-0.26,9.92
1965024,5.3,2.22,-6.89,-5.21,-2.36,7.78
1965057,5.3,-0.61,-6.44,-5.04,-9.67,10.08
1965064,3.85,0.38,-6.98,-5.24,-9.81,9.6
1965071,3.98,1.02,-7.19,-3.93,-9.07,4.27
1965078,3.82,1.41,-7.05,-2.3,-7.58,0.01
1965085,3.86,1.84,-7.05,0.16,-5.9,0.84
1965092,3.8,1.77,-7.03,2.77,-3.96,-0.35
1965099,3.95,2.18,-7.03,4.47,-2.2,-2.9
1965106,3.71,2.45,-7.33,6.04,-1.03,-4.95
1965113,3.35,1.98,-7.52,6.85,-0.22,-6.87
1965120,3.37,1.78,-7.44,7.04,0.37,-8.14
1965127,3.79,1.24,-7.09,6.9,0.52,-8.46
1965134,4.25,0.63,-6.78,6.34,0.33,-10.06
1965141,4.68,0.43,-6.65,5.62,-0.11,-9.48
1965148,4.86,-0.19,-6.72,4.72,-0.85,-7.78
1965155,4.96,-0.64,-6.97,3.65,-1.54,-5.23
1965162,5.08,-0.81,-7.09,2.51,-2.43,-1.03
1965169,5.14,-1.02,-6.93,1.11,-3.36,1.23
1965176,4.94,-0.71,-6.7,-0.5,-4.35,2.57
1965183,4.57,-0.3,-6.56,-1.88,-5.25,3.99
1965190,4.27,-0.12,-6.62,-3.3,-6.04,5.48
1965197,3.74,1.27,-7.08,-3.44,-6.46,6.31
1965204,3.67,1.58,-7.19,-4.17,-5.98,4.14
1965211,4.33,1.97,-7.4,-3.77,-5.12,0.49
1965218,4.07,2.22,-7.51,-2.35,-4.44,3.8
1965225,3.81,1.62,-7.38,-1.29,-3.21,3.95
1965232,3.71,2.09,-7.2,-0.63,-2.05,1.94
1965239,3.73,1.6,-7.13,0.4,-1.13,1.97
1965246,3.95,0.13,-6.97,0.1,-0.55,-0.06
1965253,4.39,-0.11,-6.86,-0.3,-0.41,-1.54
1965260,4.96,-0.45,-6.65,-0.82,-0.65,-0.1
1965267,5.13,-0.54,-6.6,-1.67,-1.17,2.03
1965274,4.71,-0.43,-6.79,-2.49,-1.86,5.75
1965281,4.04,-0.05,-7.06,-2.49,-1.66,6.08
1965288,3.77,0.79,-7.1,-2.25,-0.87,1.33
1965295,4.13,0.95,-7.04,-0.97,0.08,-1.18
1965302,4.47,1.6,-6.96,0.34,1,0.81
1965309,4.54,1.48,-7.08,1.36,1.41,0.73
1965316,4.16,1,-7.34,1.96,1.73,0.78
1965323,3.84,0.61,-7.4,1.96,1.92,0.16
1965330,3.97,0.52,-7.25,1.47,1.8,-2.33
1965337,4.29,0.66,-6.8,0.98,1.53,-1.55
1965344,4.71,0.85,-6.54,0.27,0.97,0.53
1965351,4.58,0.68,-6.7,-0.69,0.19,0.4
1965358,4.37,0.05,-7.14,-1.62,-0.53,1.26
1965365,4.08,0.09,-7.31,-2.36,-1.2,1.94
1965372,4.19,1.06,-7.34,-2.7,-1.28,3.26
1965379,4.32,1.59,-7.15,-2.24,-1.07,2
1965386,4.44,0.72,-7.02,-1.87,-0.85,2.1
1965393,4.39,0.72,-6.95,-1.43,-0.53,3.36
1965400,4.08,0.78,-6.96,-0.92,-0.16,1.81
1965407,4,0.07,-6.96,-1.08,0.17,1.45
1965414,4.29,0.04,-6.98,-1.11,0.27,2.1
1965421,4.52,0.58,-6.9,-0.77,0.33,2.6
1965428,4.45,0.88,-6.91,-0.5,0.54,-0.25
1965435,4.34,0.67,-7.03,-0.08,0.8,-1.16
1965442,4.19,0.42,-7.1,0.5,0.96,0.53
1965449,4.15,0.69,-7.11,0.6,1.06,1.11
1965456,4.35,0.66,-7.09,0.69,1,0.32
1965463,4.43,0.69,-7.07,0.73,0.83,-0.45
1965470,4.27,0.92,-7.02,0.62,0.64,-0.77
1965477,4.15,0.91,-7.02,0.44,0.55,-0.83
1965484,4.16,0.72,-7.04,0.23,0.38,0.49
1965491,4.29,0.56,-7.07,-0.27,0,1.5
1965498,4.34,0.7,-7.11,-0.66,-0.34,1.13
1965532,4.38,0.49,-6.99,-0.69,-0.11,1.51
1965539,4.4,0.36,-7.01,-0.72,-0.01,0.99
1965546,4.27,0.49,-7.02,-0.61,0.06,0.81
1965553,4.2,0.56,-6.99,-0.35,0.27,0.88
1965560,4.26,0.58,-6.99,0.03,0.5,1
1965567,4.4,0.59,-7.01,0.4,0.57,0.67
1965574,4.42,0.6,-7.06,0.58,0.51,-0.19
1965581,4.33,0.62,-7.08,0.7,0.42,-0.87
1965588,4.21,0.67,-7.08,0.82,0.35,-0.74
1965595,4.19,0.71,-7.04,0.85,0.29,-0.19
1965602,4.27,0.73,-7.02,0.76,0.2,-0.07
1965609,4.34,0.72,-7.04,0.52,0.03,-0.33
1965616,4.28,0.7,-7.09,0.21,-0.19,-0.54
1965623,4.18,0.74,-7.11,-0.07,-0.32,-0.32
1965630,4.17,0.8,-7.09,-0.25,-0.35,0.26
1965637,4.23,0.78,-7.06,-0.35,-0.27,0.79
1965644,4.31,0.68,-7.05,-0.5,-0.2,0.8
1965651,4.29,0.61,-7.07,-0.69,-0.16,0.71
1965658,4.24,0.54,-7.06,-0.78,-0.1,1.03
1965665,4.22,0.55,-7.02,-0.8,-0.04,1.46
1965672,4.26,0.58,-7,-0.66,0.07,1.74
1965679,4.34,0.61,-7,-0.45,0.15,1.31
1965686,4.37,0.61,-7.02,-0.22,0.2,0.55
1965693,4.31,0.56,-7.05,0,0.23,0.14
1965700,4.25,0.56,-7.02,0.25,0.22,0.23
1965707,4.28,0.64,-7.02,0.44,0.25,0.27
1965714,4.32,0.67,-7.03,0.55,0.19,-0.03
1965721,4.32,0.68,-7.04,0.64,0.13,-0.58
1965728,4.26,0.69,-7.06,0.63,0.06,-0.91
1965737,4.2,0.67,-7.06,0.44,0.03,-0.41
1965744,4.21,0.69,-7.07,0.24,-0.03,0.04
1965751,4.27,0.76,-7.08,0.11,-0.08,0.26
1965758,4.28,0.79,-7.08,-0.02,-0.08,0.08
1965765,4.26,0.72,-7.07,-0.18,-0.07,0.02
1965772,4.23,0.66,-7.06,-0.36,0,0.45
1965779,4.23,0.62,-7.03,-0.51,0.06,1.13
1965786,4.28,0.61,-7.03,-0.6,0.04,1.48
1965793,4.31,0.63,-7.03,-0.61,0.05,1.34
1965800,4.31,0.66,-7.01,-0.56,0.09,0.92
1965807,4.29,0.62,-7.02,-0.4,0.11,0.72
1965814,4.29,0.59,-7,-0.23,0.16,0.77
1965821,4.32,0.58,-7,-0.07,0.15,0.76
1965828,4.35,0.6,-7.01,0.08,0.13,0.46
1965835,4.34,0.63,-7.02,0.25,0.11,-0.03
1965842,4.3,0.64,-7.02,0.4,0.1,-0.35
1965849,4.27,0.64,-7.03,0.51,0.12,-0.35
1965856,4.28,0.63,-7.04,0.54,0.09,-0.21
1965863,4.29,0.66,-7.06,0.49,0.07,-0.15
1965870,4.28,0.7,-7.06,0.37,0.07,-0.21
1965877,4.25,0.73,-7.06,0.27,0.06,-0.2
1965884,4.23,0.73,-7.05,0.15,0.07,0.06
1965891,4.24,0.71,-7.05,0.01,0.09,0.45
1965898,4.27,0.69,-7.06,-0.2,0.05,0.66
1965905,4.28,0.68,-7.06,-0.4,0.01,0.74
1965912,4.26,0.68,-7.05,-0.53,-0.04,0.76
1965919,4.25,0.67,-7.04,-0.57,-0.04,0.85
1965926,4.26,0.66,-7.04,-0.54,-0.04,1
1965933,4.3,0.63,-7.04,-0.48,-0.02,0.98
1965940,4.33,0.6,-7.03,-0.39,0,0.73
1965947,4.32,0.58,-7.02,-0.26,0,0.43
1965954,4.28,0.59,-7.01,-0.08,0.03,0.3
1965961,4.28,0.59,-7.01,0.06,0.04,0.31
1965968,4.3,0.6,-7.02,0.25,0.06,0.26
1965975,4.32,0.61,-7.03,0.38,0.09,-0.01
1965982,4.31,0.63,-7.04,0.43,0.08,-0.25
1966017,4.26,0.69,-7.06,0.15,-0.02,0.04
1966024,4.24,0.69,-7.06,0,-0.04,0.14
1966031,4.23,0.69,-7.05,-0.18,-0.07,0.46
1966038,4.24,0.69,-7.05,-0.27,-0.04,0.77
1966045,4.27,0.68,-7.05,-0.33,0,0.87
1966052,4.29,0.65,-7.05,-0.4,-0.01,0.78
1966059,4.29,0.63,-7.05,-0.43,-0.03,0.7
1966066,4.28,0.61,-7.03,-0.4,-0.03,0.71
1966073,4.28,0.61,-7.02,-0.33,-0.03,0.75
1966080,4.31,0.61,-7.01,-0.21,0,0.65
1966087,4.32,0.61,-7.01,-0.1,0.03,0.41
1966094,4.31,0.6,-7.03,0.05,0.05,0.15
1966101,4.28,0.6,-7.03,0.16,0.04,0.04
1966108,4.27,0.62,-7.02,0.25,0.05,0.04
1966115,4.26,0.64,-7.03,0.37,0.06,0.03
1966122,4.28,0.66,-7.05,0.44,0.09,-0.08
1966129,4.26,0.67,-7.05,0.4,0.08,-0.18
1966136,4.25,0.67,-7.05,0.34,0.06,-0.2
1966143,4.23,0.68,-7.05,0.21,0.04,-0.02
1966150,4.24,0.7,-7.07,0.11,0.02,0.33
1966157,4.25,0.72,-7.07,0,-0.02,0.45
1966164,4.27,0.71,-7.07,-0.15,-0.04,0.41
1966171,4.26,0.69,-7.06,-0.27,-0.06,0.46
1966178,4.24,0.67,-7.05,-0.39,-0.08,0.66
1966185,4.26,0.64,-7.05,-0.43,-0.05,0.88
1966192,4.29,0.64,-7.05,-0.46,-0.05,0.96
1966199,4.3,0.64,-7.04,-0.43,-0.03,0.81
1966206,4.29,0.63,-7.04,-0.37,0,0.67
1966213,4.29,0.6,-7.03,-0.24,0.01,0.58
1966220,4.28,0.59,-7.02,-0.08,0.03,0.5
1966227,4.29,0.6,-7.02,0.04,0.03,0.34
1966234,4.31,0.6,-7.04,0.17,0.05,0.21
1966241,4.28,0.62,-7.03,0.27,0.05,-0.11
1966248,4.26,0.62,-7.03,0.34,0.05,-0.23
1966255,4.26,0.63,-7.05,0.37,0.03,-0.12
1966262,4.26,0.64,-7.06,0.34,0.06,-0.06
1966269,4.27,0.67,-7.07,0.27,0.05,-0.01
1966276,4.26,0.68,-7.07,0.16,0.02,0.04
1966283,4.25,0.7,-7.07,0.07,-0.01,0.08
1966290,4.23,0.69,-7.07,-0.03,-0.02,0.28
1966297,4.24,0.68,-7.07,-0.15,-0.04,0.48
1966304,4.26,0.66,-7.07,-0.25,-0.03,0.61
1966311,4.27,0.66,-7.05,-0.36,-0.03,0.68
1966318,4.26,0.66,-7.05,-0.4,-0.05,0.68
1966325,4.26,0.64,-7.04,-0.4,-0.02,0.72
1966332,4.27,0.63,-7.05,-0.34,-0.05,0.78
1966339,4.29,0.61,-7.05,-0.24,0,0.71
1966346,4.3,0.59,-7.04,-0.16,-0.01,0.59
1966353,4.29,0.6,-7.03,-0.08,0.03,0.39
1966360,4.28,0.6,-7.02,0,0.04,0.26
1966367,4.28,0.61,-7.02,0.15,0.06,0.21
1966374,4.28,0.62,-7.03,0.27,0.09,0.09
1966381,4.29,0.63,-7.03,0.34,0.09,-0.06
1966388,4.29,0.64,-7.03,0.36,0.07,-0.19
1966395,4.26,0.66,-7.03,0.34,0.05,-0.2
1966402,4.24,0.68,-7.04,0.34,0.03,-0.04
1966409,4.24,0.69,-7.04,0.24,0.03,0.14
1966416,4.26,0.69,-7.06,0.15,0.03,0.23
1966423,4.25,0.7,-7.06,0,0.03,0.32
1966430,4.24,0.69,-7.05,-0.13,0.01,0.4
1966437,4.25,0.69,-7.05,-0.23,0.02,0.59
1966444,4.25,0.68,-7.05,-0.31,0.04,0.75
1966451,4.28,0.67,-7.05,-0.34,0.01,0.84
1966458,4.28,0.65,-7.04,-0.34,0.02,0.75
1966465,4.28,0.63,-7.03,-0.33,-0.04,0.65
1966499,4.3,0.61,-7.02,0.11,0.03,0.14
1966506,4.29,0.63,-7.03,0.2,0.03,0.01
1966513,4.27,0.65,-7.03,0.27,0.03,0.02
1966520,4.28,0.66,-7.03,0.32,0.03,0.02
1966527,4.28,0.67,-7.03,0.31,0.03,0.04
1966534,4.27,0.68,-7.04,0.27,0.02,-0.01
1966541,4.26,0.68,-7.05,0.2,0.02,0.04
1966548,4.25,0.69,-7.05,0.12,0,0.25
1966555,4.25,0.7,-7.05,0.02,0.06,0.4
1966562,4.26,0.69,-7.06,-0.14,0.05,0.49
1966569,4.26,0.69,-7.05,-0.21,0.04,0.55
1966576,4.25,0.68,-7.04,-0.3,0.04,0.61
1966583,4.26,0.66,-7.05,-0.33,0.03,0.71
1966590,4.27,0.65,-7.04,-0.34,0.05,0.81
1966597,4.29,0.64,-7.04,-0.31,0.06,0.78
1966604,4.3,0.63,-7.03,-0.24,0.01,0.67
1966611,4.3,0.62,-7.03,-0.16,0.02,0.49
1966618,4.3,0.61,-7.03,-0.05,0.03,0.37
1966625,4.29,0.61,-7.02,0.06,0.03,0.3
1966632,4.3,0.62,-7.02,0.17,0.04,0.25
1966639,4.3,0.62,-7.03,0.24,0.03,0.12
1966646,4.29,0.64,-7.03,0.26,0.04,-0.03
1966653,4.27,0.65,-7.04,0.31,0.05,-0.09
1966660,4.26,0.65,-7.04,0.36,0.03,-0.03
1966667,4.26,0.67,-7.05,0.31,0.03,0.07
1966674,4.26,0.67,-7.06,0.24,0,0.09
1966681,4.25,0.68,-7.06,0.15,-0.02,0.16
1966688,4.25,0.68,-7.06,0.01,-0.05,0.29
1966695,4.24,0.69,-7.06,-0.05,-0.07,0.42
1966702,4.25,0.68,-7.05,-0.15,-0.06,0.53
1966709,4.26,0.67,-7.05,-0.25,-0.05,0.61
1966716,4.27,0.66,-7.04,-0.28,-0.07,0.64
1966723,4.27,0.65,-7.04,-0.32,-0.06,0.67
1966730,4.28,0.64,-7.04,-0.3,-0.05,0.69
1966737,4.28,0.63,-7.04,-0.25,0,0.7
1966744,4.29,0.62,-7.04,-0.17,-0.01,0.62
1966751,4.29,0.61,-7.04,-0.11,0.01,0.46
1966758,4.3,0.61,-7.03,-0.02,0.06,0.33
1966765,4.29,0.62,-7.04,0.1,0.08,0.22
1966772,4.28,0.63,-7.03,0.2,0.08,0.16
1966779,4.28,0.64,-7.04,0.25,0.06,0.08
1966786,4.28,0.65,-7.04,0.29,0.09,0.05
1966793,4.27,0.66,-7.04,0.3,0.09,0.06
1966800,4.26,0.67,-7.04,0.26,0.09,0.07
1966807,4.26,0.69,-7.05,0.21,0.08,0.13
1966814,4.25,0.69,-7.05,0.12,0.07,0.22
1966821,4.26,0.69,-7.05,-0.02,0.07,0.33
1966828,4.26,0.68,-7.05,-0.08,0.07,0.37
1966835,4.26,0.68,-7.05,-0.18,0.03,0.46
1966842,4.26,0.68,-7.04,-0.2,0.03,0.61
1966849,4.26,0.67,-7.04,-0.24,0.03,0.63
1966856,4.27,0.65,-7.04,-0.24,0.03,0.66
1966863,4.28,0.64,-7.04,-0.24,0.03,0.67
1966870,4.28,0.63,-7.03,-0.21,-0.02,0.59
1966877,4.29,0.62,-7.02,-0.16,-0.02,0.57
1966884,4.29,0.62,-7.02,-0.11,0.02,0.55
1966891,4.3,0.62,-7.02,-0.02,0,0.41
1966898,4.3,0.62,-7.02,0.08,0.03,0.24
1966905,4.28,0.62,-7.02,0.15,0.03,0.13
1966912,4.28,0.63,-7.02,0.21,0.04,0.07
1966919,4.28,0.64,-7.03,0.23,0.03,0.06
1966926,4.27,0.65,-7.03,0.23,0.04,0.08
1966933,4.27,0.67,-7.03,0.2,0.05,0.08
1966940,4.26,0.67,-7.03,0.18,0.03,0.14
1966947,4.26,0.68,-7.04,0.08,0.02,0.23
1966981,4.27,0.66,-7.03,-0.27,-0.04,0.64
1966988,4.28,0.65,-7.04,-0.29,0,0.66
1966995,4.29,0.64,-7.03,-0.24,0.02,0.65
1967002,4.3,0.64,-7.04,-0.22,0.02,0.58
1967009,4.3,0.63,-7.03,-0.21,0.02,0.48
1967016,4.3,0.62,-7.03,-0.14,0.06,0.39
1967023,4.29,0.62,-7.03,-0.06,0.08,0.31
1967030,4.29,0.62,-7.03,0.05,0.06,0.25
1967037,4.3,0.63,-7.03,0.15,0.09,0.14
1967044,4.29,0.64,-7.04,0.19,0.09,0.04
1967051,4.28,0.64,-7.04,0.22,0.12,-0.02
1967058,4.28,0.65,-7.05,0.23,0.1,0.02
1967065,4.27,0.66,-7.05,0.21,0.06,0.07
1967072,4.27,0.67,-7.05,0.18,0.09,0.09
1967079,4.26,0.68,-7.06,0.11,0.06,0.16
1967086,4.26,0.68,-7.06,0,0,0.24
1967093,4.26,0.68,-7.06,-0.07,0,0.36
1967100,4.26,0.67,-7.06,-0.14,0,0.52
1967107,4.27,0.67,-7.06,-0.22,-0.03,0.62
1967114,4.28,0.66,-7.06,-0.27,-0.01,0.66
1967121,4.29,0.66,-7.05,-0.27,-0.02,0.65
1967128,4.29,0.64,-7.05,-0.24,0,0.56
1967135,4.29,0.63,-7.04,-0.21,0.01,0.54
1967142,4.3,0.63,-7.03,-0.14,0,0.49
1967149,4.3,0.62,-7.03,-0.09,0,0.4
1967156,4.3,0.62,-7.03,-0.02,0.02,0.3
1967163,4.3,0.63,-7.03,0.08,0,0.23
1967170,4.28,0.64,-7.02,0.17,0.03,0.1
1967177,4.29,0.64,-7.03,0.21,0.05,0.08
1967184,4.29,0.65,-7.04,0.27,0.09,0.03
1967191,4.27,0.67,-7.04,0.25,0.06,-0.03
1967198,4.27,0.68,-7.05,0.2,0.09,0.01
1967205,4.26,0.68,-7.05,0.18,0.13,0.07
1967212,4.26,0.69,-7.05,0.11,0.1,0.14
1967219,4.25,0.69,-7.05,0.03,0.09,0.24
1967226,4.26,0.68,-7.05,-0.02,0.09,0.36
1967233,4.27,0.69,-7.04,-0.14,0.07,0.42
1967240,4.27,0.68,-7.04,-0.21,0.05,0.52
1967247,4.26,0.66,-7.04,-0.26,0.02,0.62
1967254,4.27,0.65,-7.03,-0.27,-0.01,0.68
1967261,4.28,0.65,-7.03,-0.25,0,0.65
1967268,4.29,0.64,-7.03,-0.21,0.02,0.57
1967275,4.29,0.63,-7.03,-0.12,0,0.49
1967282,4.29,0.63,-7.02,-0.03,-0.01,0.43
1967289,4.29,0.63,-7.02,0.03,-0.02,0.33
1967296,4.29,0.63,-7.02,0.11,0.01,0.2
1967303,4.29,0.64,-7.02,0.18,0.02,0.12
1967310,4.28,0.64,-7.03,0.24,0.06,0.08
1967317,4.27,0.66,-7.03,0.27,0.08,0.06
1967324,4.27,0.66,-7.04,0.25,0.07,0.07
1967331,4.27,0.67,-7.04,0.22,0.08,0.11
1967338,4.27,0.68,-7.04,0.15,0.07,0.2
1967345,4.26,0.68,-7.04,0.09,0.07,0.24
1967352,4.25,0.69,-7.04,0.05,0.06,0.34
1967359,4.25,0.68,-7.04,-0.05,0.04,0.42
1967366,4.25,0.68,-7.04,-0.13,0.03,0.55
1967373,4.26,0.68,-7.05,-0.21,0.03,0.62
1967380,4.27,0.67,-7.05,-0.2,0.02,0.63
1967387,4.27,0.66,-7.04,-0.23,0.05,0.62
1967394,4.28,0.66,-7.03,-0.23,0.06,0.62
1967401,4.29,0.65,-7.03,-0.18,0.03,0.61
1967408,4.29,0.64,-7.03,-0.13,0.03,0.54
1967415,4.29,0.64,-7.03,-0.04,0.03,0.44
1967422,4.3,0.63,-7.03,0.02,0.02,0.34
1967429,4.3,0.63,-7.03,0.09,0.01,0.25
1967436,4.3,0.63,-7.03,0.18,0.04,0.2
1967469,4.27,0.67,-7.05,0.16,0.06,0.16
1967476,4.27,0.67,-7.05,0.11,0.04,0.26
1967483,4.26,0.68,-7.06,0.03,0.03,0.36
1967490,4.26,0.68,-7.05,-0.02,0.03,0.48
1967497,4.25,0.68,-7.06,-0.09,0.01,0.55
1967504,4.26,0.67,-7.05,-0.12,0,0.57
1967511,4.26,0.66,-7.04,-0.18,0,0.65
1967518,4.27,0.65,-7.04,-0.21,0.01,0.65
1967525,4.27,0.64,-7.04,-0.18,0.02,0.59
1967532,4.28,0.64,-7.03,-0.15,0.03,0.55
1967539,4.28,0.63,-7.03,-0.11,0.05,0.52
1967546,4.28,0.63,-7.03,-0.08,0.06,0.45
1967553,4.28,0.63,-7.03,-0.02,0.09,0.35
1967560,4.28,0.63,-7.03,0.08,0.11,0.24
1967567,4.28,0.63,-7.03,0.14,0.07,0.17
1967574,4.28,0.64,-7.03,0.16,0.06,0.11
1967581,4.28,0.65,-7.04,0.23,0.05,0.1
1967588,4.27,0.65,-7.04,0.24,0.03,0.11
1967595,4.27,0.66,-7.04,0.2,0.04,0.15
1967602,4.26,0.67,-7.04,0.15,0.05,0.2
1967609,4.26,0.67,-7.05,0.09,0.05,0.25
1967616,4.26,0.67,-7.05,0.06,0.03,0.34
1967623,4.26,0.67,-7.05,-0.02,0,0.47
1967630,4.26,0.67,-7.05,-0.11,-0.02,0.52
1967637,4.27,0.67,-7.05,-0.12,0,0.55
1967644,4.27,0.66,-7.05,-0.17,0.02,0.6
1967651,4.27,0.65,-7.04,-0.2,0.01,0.65
1967658,4.27,0.65,-7.04,-0.19,0.03,0.59
1967665,4.27,0.64,-7.04,-0.18,0.04,0.52
1967672,4.27,0.64,-7.04,-0.13,0.06,0.46
1967679,4.28,0.64,-7.04,-0.07,0.1,0.4
1967686,4.29,0.63,-7.04,0.01,0.07,0.36
1967693,4.28,0.64,-7.05,0.05,0.09,0.27
1967700,4.28,0.64,-7.04,0.11,0.09,0.23
1967707,4.29,0.65,-7.04,0.14,0.09,0.17
1967714,4.27,0.65,-7.05,0.17,0.1,0.13
1967721,4.27,0.67,-7.05,0.21,0.1,0.11
1967728,4.26,0.67,-7.05,0.12,0.08,0.11
1967735,4.28,0.67,-7.06,0.1,0.05,0.21
1967743,4.26,0.67,-7.06,0.08,0.04,0.23
1967750,4.24,0.68,-7.05,-0.01,0,0.32
1967757,4.25,0.68,-7.05,-0.08,0,0.4
1967764,4.26,0.67,-7.05,-0.08,0,0.51
1967771,4.26,0.67,-7.05,-0.14,0,0.6
1967778,4.26,0.66,-7.04,-0.21,-0.03,0.6
1967785,4.26,0.65,-7.04,-0.22,-0.02,0.61
1967792,4.27,0.64,-7.04,-0.21,-0.01,0.6
1967799,4.28,0.63,-7.03,-0.19,0.03,0.55
1967806,4.28,0.63,-7.03,-0.14,0.02,0.49
1967813,4.28,0.63,-7.03,-0.08,0.01,0.41
1967820,4.29,0.62,-7.03,-0.02,0.02,0.34
1967827,4.29,0.63,-7.04,0.05,0.02,0.3
1967834,4.29,0.63,-7.05,0.07,0.02,0.21
1967841,4.28,0.64,-7.04,0.15,0.03,0.18
1967848,4.28,0.66,-7.05,0.17,0.07,0.16
1967855,4.27,0.66,-7.05,0.15,0.06,0.15
1967862,4.27,0.67,-7.05,0.15,0.06,0.17
1967869,4.26,0.67,-7.05,0.11,0.06,0.26
1967876,4.26,0.68,-7.05,0.06,0.03,0.33
1967883,4.26,0.68,-7.05,-0.02,0.03,0.36
1967890,4.26,0.68,-7.05,-0.08,0.01,0.44
1967897,4.26,0.67,-7.05,-0.14,0.02,0.51
1967904,4.26,0.67,-7.05,-0.17,0.03,0.55
1967911,4.26,0.66,-7.04,-0.21,0.03,0.57
1967918,4.27,0.66,-7.04,-0.19,0.01,0.59
1967956,4.28,0.62,-7.02,0.02,0.03,0.33
1967963,4.28,0.62,-7.03,0.08,0.03,0.25
1967970,4.28,0.62,-7.04,0.14,0.03,0.19
1967977,4.27,0.63,-7.04,0.18,0.06,0.14
1967984,4.27,0.64,-7.05,0.18,0.05,0.15
1967991,4.26,0.65,-7.05,0.15,0.05,0.17
1967998,4.25,0.66,-7.05,0.11,0.06,0.22
1968005,4.26,0.67,-7.05,0.09,0.04,0.25
1968012,4.26,0.67,-7.06,0.04,0.05,0.3
1968019,4.26,0.67,-7.05,0.01,0.08,0.39
1968026,4.25,0.67,-7.06,-0.09,0.06,0.46
1968033,4.26,0.67,-7.05,-0.12,0.04,0.5
1968040,4.27,0.66,-7.05,-0.16,0.05,0.55
1968047,4.27,0.65,-7.05,-0.21,0.03,0.58
1968054,4.28,0.64,-7.05,-0.19,0.02,0.55
1968061,4.28,0.64,-7.04,-0.15,0.01,0.53
1968068,4.28,0.64,-7.04,-0.11,0.02,0.51
1968075,4.28,0.63,-7.04,-0.09,0.04,0.49
1968082,4.28,0.63,-7.04,-0.03,0.04,0.36
1968089,4.29,0.63,-7.04,0.04,0.03,0.28
1968096,4.28,0.63,-7.04,0.08,0.05,0.24
1968103,4.28,0.63,-7.04,0.12,0.06,0.2
1968110,4.27,0.64,-7.04,0.11,0.06,0.16
1968117,4.26,0.65,-7.05,0.16,0.06,0.17
1968124,4.27,0.65,-7.05,0.17,0.05,0.17
1968131,4.26,0.66,-7.05,0.11,0.03,0.23
1968138,4.26,0.66,-7.06,0.08,0.03,0.28
1968145,4.26,0.66,-7.07,0.08,0,0.34
1968152,4.26,0.67,-7.06,-0.02,0.02,0.4
1968159,4.26,0.67,-7.06,-0.09,0,0.47
1968166,4.27,0.68,-7.05,-0.14,-0.01,0.51
1968173,4.27,0.67,-7.04,-0.14,0,0.52
1968180,4.27,0.66,-7.04,-0.15,0.02,0.55
1968187,4.27,0.65,-7.04,-0.12,0.02,0.51
1968194,4.28,0.64,-7.04,-0.12,0,0.52
1968201,4.28,0.63,-7.03,-0.08,0,0.44
1968208,4.28,0.63,-7.03,-0.05,0,0.38
1968215,4.28,0.63,-7.03,0.03,0.01,0.35
1968222,4.28,0.63,-7.03,0.1,0.03,0.26
1968229,4.28,0.64,-7.03,0.11,0.03,0.24
1968236,4.28,0.65,-7.04,0.12,0.05,0.19
1968243,4.28,0.65,-7.05,0.13,0.04,0.14
1968250,4.27,0.66,-7.04,0.15,0.06,0.07
