# Time (s),Thrust (N),Drag force (N)
0.986,15.659,-0.045
0.99,15.642,-0.045
0.995,15.623,-0.046
0.999,15.604,-0.046
1.003,15.584,-0.046
1.008,15.565,-0.046
1.012,15.546,-0.045
1.017,15.527,-0.044
1.021,15.507,-0.043
1.025,15.488,-0.041
1.03,15.468,-0.039
1.034,15.449,-0.037
1.039,15.43,-0.034
1.043,15.416,-0.032
1.047,15.404,-0.029
1.052,15.391,-0.025
1.056,15.379,-0.022
1.061,15.366,-0.019
1.065,15.353,-0.016
1.069,15.341,-0.014
1.074,15.328,-0.012
1.078,15.316,-0.01
1.083,15.303,-0.009
1.087,15.291,-0.008
1.091,15.278,-0.008
1.096,15.266,-0.007
1.1,15.253,-0.006
1.105,15.241,-0.004
1.109,15.228,-0.003
1.113,15.216,-0.002
1.118,15.203,-8.478e-4
1.122,15.19,-2.574e-4
1.127,15.178,-1.815e-5
1.131,15.165,5.126e-6
1.135,15.153,1.835e-4
1.14,15.14,7.129e-4
1.144,15.128,0.002
1.149,15.115,0.002
1.153,15.103,0.003
1.157,15.09,0.004
1.162,15.077,0.004
1.166,15.065,0.005
1.171,15.052,0.006
1.175,15.04,0.008
1.179,15.027,0.009
1.184,15.014,0.011
1.188,15.002,0.013
1.193,14.989,0.015
1.197,14.977,0.017
1.202,14.964,0.019
1.206,14.952,0.02
1.21,14.943,0.022
1.215,14.937,0.023
1.219,14.93,0.024
1.224,14.924,0.024
1.228,14.917,0.025
1.233,14.911,0.025
1.237,14.904,0.026
1.242,14.897,0.026
1.246,14.891,0.025
1.25,14.885,0.025
1.253,14.88,0.025
1.256,14.875,0.024
1.259,14.871,0.024
1.262,14.867,0.024
1.264,14.863,0.023
1.268,14.858,0.023
1.273,14.852,0.022
1.277,14.845,0.021
1.282,14.838,0.019
1.287,14.831,0.018
1.292,14.824,0.017
1.296,14.818,0.016
1.299,14.812,0.015
1.302,14.807,0.014
1.305,14.802,0.014
1.308,14.798,0.013
1.311,14.794,0.012
1.314,14.789,0.012
1.318,14.784,0.011
1.322,14.779,0.01
1.326,14.773,0.009
1.331,14.766,0.008
1.337,14.758,0.007
1.342,14.75,0.006
1.347,14.743,0.006
1.352,14.735,0.005
1.358,14.727,0.004
1.363,14.719,0.004
1.368,14.711,0.003
1.374,14.703,0.002
1.379,14.696,0.002
1.384,14.688,0.002
1.39,14.68,0.001
1.395,14.672,9.949e-4
1.4,14.664,7.504e-4
1.406,14.656,5.532e-4
1.411,14.649,3.947e-4
1.416,14.641,2.707e-4
1.422,14.633,1.767e-4
1.427,14.682,1.087e-4
1.432,14.878,6.272e-5
1.438,15.082,3.326e-5
1.443,15.287,1.57e-5
1.448,15.491,6.241e-6
1.453,15.684,1.805e-6
1.459,15.663,2.324e-7
1.464,15.563,0
1.47,15.462,-1.495e-7
1.475,15.361,-1.209e-6
1.48,15.259,-3.884e-6
1.486,15.158,-8.611e-6
1.491,15.055,-1.558e-5
1.497,14.952,-2.475e-5
1.502,14.849,-3.643e-5
1.508,14.784,-5.056e-5
1.514,14.78,-6.545e-5
1.519,14.776,-8.009e-5
1.525,14.772,-9.319e-5
1.53,14.768,-1.038e-4
1.535,14.764,-1.116e-4
1.54,14.761,-1.163e-4
1.545,14.757,-1.181e-4
1.55,14.754,-1.167e-4
1.555,14.75,-1.103e-4
1.56,14.747,-1.021e-4
1.565,14.744,-9.253e-5
1.57,14.74,-8.19e-5
1.575,14.737,-7.06e-5
1.58,14.733,-5.904e-5
1.586,14.729,-4.764e-5
1.591,14.726,-3.68e-5
1.596,14.722,-2.69e-5
1.602,14.718,-1.827e-5
1.608,14.714,-1.115e-5
