Time_s,Output,Input
0,0.165199217921449,1
0.05,0.297509966192633,1
0.1,0.362910612956084,1
0.15,0.38768369986141,1
0.2,-0.0245877070094007,1
0.25,0.577799536952471,1
0.3,0.265073068712205,1
0.35,0.320885074274528,1
0.4,0.521773391844506,1
0.45,0.783129857491418,1
0.5,0.416057830394036,1
0.55,0.927296594679984,1
0.6,0.908441721085913,1
0.65,0.85273693789796,1
0.7,0.934717692511552,1
0.75,1.26141547395911,1
0.8,0.881099107581103,1
0.85,1.1130965497095,1
0.9,1.18367978688393,1
0.95,1.05300543564051,1
1,0.931834246974708,1
1.05,1.23159548750881,1
1.1,0.916189283260202,1
1.15,0.917768294073034,1
1.2,1.02297073540458,1
1.25,0.957693691697411,1
1.3,0.734458228608751,1
1.35,1.00555711537356,1
1.4,0.861317270971328,1
1.45,0.769472345638545,1
1.5,0.883631220673377,1
1.55,0.95655344784731,1
1.6,0.731211785979048,1
1.65,0.940440730100819,1
1.7,0.96040124653411,1
1.75,0.853308432796136,1
1.8,0.911007923637363,1
1.85,1.07512128582689,1
1.9,0.884136128746232,1
1.95,0.977862553366661,1
2,1.07628366485686,1
2.05,0.986585716168639,1
2.1,0.945268230184083,1
2.15,1.12225672221928,1
2.2,0.988020617238581,1
2.25,0.965405124528875,1
2.3,1.07039974217291,1
2.35,1.03111757274997,1
2.4,0.915574923650848,1
2.45,1.06012817068985,1
2.5,1.00752550080094,1
2.55,0.922404999003254,1
2.6,0.998924920720582,1
2.65,1.03063494283398,1
2.7,0.897822338254679,1
2.75,0.990040429502915,1
2.8,1.01775252076595,1
2.85,0.927857789141203,1
2.9,0.957111516864041,1
2.95,1.04372954600549,1
3,0.936313413301527,1
3.05,0.965904578094312,1
3.1,1.03891040641914,1
3.15,0.977463888002756,1
3.2,0.952680759179866,1
3.25,1.05416716420046,1
3.3,0.991255591059078,1
3.35,0.96371943752745,1
3.4,1.03905450606647,1
3.45,1.01918918868013,1
3.5,0.954108182256609,1
3.55,1.03554490716942,1
3.6,1.02146606845545,1
3.65,0.961855354224199,1
3.7,1.01154031994164,1
3.75,1.03336963768261,1
3.8,0.956912991117746,1
3.85,1.00141895178804,1
3.9,1.02840741395075,1
3.95,0.968205135419434,1
4,0.98228177019106,1
4.05,1.03313747215699,1
4.1,0.972324681518743,1
4.15,0.978066612716014,1
4.2,1.02692585055675,1
4.25,0.988279869917283,1
4.3,0.969494975945866,1
4.35,1.0278546421176,1
4.4,0.996672638341915,1
4.45,0.972099252379627,1
4.5,1.0197863217009,1
4.55,1.01044356014362,1
4.6,0.970503379282488,1
4.65,1.01612341242221,1
4.7,1.01544112482369,1
4.75,0.976016405406499,1
4.8,1.00579812380451,1
4.85,1.02222582016315,1
4.9,0.97773956930472,1
4.95,0.999758592009535,1
5,1.0216254618387,1
